collection_date,sticker,companyName,date,operating_net_income,operating_inventory,operating_other_working_capital,operating_change_in_working_capital,operating_other_non_cash_items,operating_loss_from_discontinued_operations,operating_loss_from_disposision_of_businesses,operating_depreciation_and_amortisation,operating_amortisation_of_debt_discount_premium_and_issuance_cost,operating_payables,operating_receivable,operating_accounts_payable,operating_accounts_receivable,operating_accrued_liabilities,operating_cummulative_effect_of_accounting_change,operating_prepaid_expenses,operating_cash_paid_for_income_tax,operating_deferred_income_taxes,operating_deferred_tax_expense,operating_excess_tax_benefit_from_stock_based_compensation,operating_income_taxes_payable,operating_interest_payable,operating_effect_of_exchange_rate_changes,operating_other_assets_and_liabilities,operating_other_operating_activities,operating_net_cash_provided_by_operating_activities,investing_investments_in_property_plant_and_equipment,investing_property_and_equipments_net,investing_property_plant_and_equipment_reductions,investing_acquisitions_and_despositions,investing_acquisitions_net,investing_purchases_of_intangibles,investing_sale_of_intangibles,investing_purchases_of_investments,investing_common_stock_repurchased,investing_investment_asset_impairment_charges,investing_investment_losses_gains,investing_sale_maturities_of_investments,investing_other_investing_charges,investing_sale_maturities_of_fixed_maturity_and_equity_securities,investing_other_investing_activities,investing_net_cash_used_for_investing_activities,financing_change_in_short_term_borrowing,financing_loans,financing_debt_issued,financing_debt_repayment,financing_long_term_debt_issued,financing_long_term_debt_repayment,financing_redemption_of_prefered_stock,financing_repurchases_of_treasury_stock,financing_cash_dividends_paid,financing_cash_paid_for_interest,financing_cash_paid_for_interest,financing_preferred_stock_issued,financing_common_stock_issued,financing_warrant_issued,financing_stock_based_compensation,financing_other_financing_activities,financing_net_cash_used_for_financing_activities,net_change_in_cash,cash_at_beginning_of_period,cash_at_end_of_period,operating_cash_flow,capital_expenditure,free_cash_flow
20180209,AEGEK,AEGEK (CR),2014-12-01 00:00:00,,3.0,-12.0,,-13.0,,,,,,,,,,,,,,,,,,,,,-25.0,-1.0,,1.0,,,,,,,,-2.0,,,,0.0,1.0,,,36.0,-33.0,,,,,,,,,,,,-0.0,4.0,-20.0,23.0,3.0,-25.0,-1.0,-25.0
20180209,AEGEK,AEGEK (CR),2015-12-01 00:00:00,,-3.0,20.0,,-20.0,,,,,,,,,,,,,,,,,,,,,-5.0,-0.0,,2.0,,,,,,,,-2.0,,,,0.0,2.0,,,9.0,-3.0,,,,,,,,,,,,,6.0,3.0,3.0,6.0,-5.0,-0.0,-5.0
20180209,AEGEK,AEGEK (CR),2016-12-01 00:00:00,,1.0,9.0,,6.0,,,,,,,,,,,,,,,,,,,,,18.0,-0.0,,1.0,,,,,,,,2.0,,,,0.0,1.0,,,0.0,-22.0,,,,,,,,,,,,,-22.0,-3.0,6.0,3.0,18.0,-0.0,18.0
20180209,AEGEK,AEGEK (CR),2017-12-01 00:00:00,,1.0,26.0,,28.0,,,,,,,,,,,,,,,,,,,,,56.0,-0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,-52.0,,,,,,,,,,,,,-52.0,4.0,2.0,6.0,56.0,,56.0
20180209,AEGN,AEGEAN AIRLINES (CR),2012-12-01 00:00:00,,1.0,19.0,,-3.0,,,,,,,,,,,,,,,,,,,,,17.0,-2.0,,,,,,,,,,,,,,-18.0,-20.0,,,,-8.0,,,,,,,,,,,,-8.0,-15.0,-18.0,167.0,149.0,17.0,-2.0,16.0
20180209,AEGN,AEGEAN AIRLINES (CR),2013-12-01 00:00:00,,-0.0,21.0,,84.0,,,,,,,,,,,,,,,,,,,,,105.0,-2.0,,0.0,,8.0,,,-9.0,,,,,,,2.0,-0.0,,,,-19.0,,,,,,,,,,,,-8.0,-27.0,78.0,149.0,227.0,105.0,-2.0,103.0
20180209,AEGN,AEGEAN AIRLINES (CR),2014-12-01 00:00:00,,-2.0,11.0,,102.0,,,,,,,,,,,,,,,,,,,,,112.0,-49.0,,0.0,,-10.0,,,-3.0,,,,9.0,,,2.0,-51.0,,,,,,,,-1.0,,,,,,,,-79.0,-80.0,-19.0,227.0,207.0,112.0,-49.0,63.0
20180209,AEGN,AEGEAN AIRLINES (CR),2015-12-01 00:00:00,,-0.0,0.0,,54.0,,,,,,,,,,,,,,,,,,,,,54.0,-20.0,,0.0,,-20.0,,,-44.0,,,,12.0,,,31.0,-40.0,,,,,,,,,-50.0,,,,,,,-10.0,-60.0,-46.0,188.0,142.0,54.0,-20.0,34.0
20180209,AEGN,AEGEAN AIRLINES (CR),2016-12-01 00:00:00,,-3.0,22.0,,40.0,,,,,,,,,,,,,,,,,,,,,60.0,-5.0,,33.0,,-10.0,,,,,,,41.0,,,0.0,59.0,,,,,,,,,-50.0,,,,,,,-10.0,-60.0,59.0,189.0,248.0,60.0,-5.0,55.0
20180209,AEGN,AEGEAN AIRLINES (CR),2017-12-01 00:00:00,,-2.0,43.0,,52.0,,,,,,,,,,,,,,,,,,,,,92.0,-3.0,,,,,,,-0.0,,,,1.0,,,-10.0,-12.0,,,,,,,,,-31.0,,,,,,,-10.0,-42.0,38.0,296.0,334.0,92.0,-3.0,89.0
20180209,ALCO,ALCO HELLAS SA (CR),2008-12-01 00:00:00,,,-4.0,,21.0,,,,,,,,,,,,,,,,,,,,,17.0,-17.0,,0.0,,,,,,,,,,,,3.0,-13.0,,,13.0,-11.0,,,,,-5.0,,,,0.0,,,-2.0,-5.0,-2.0,6.0,4.0,17.0,-17.0,0.0
20180209,ALCO,ALCO HELLAS SA (CR),2009-12-01 00:00:00,,14.0,4.0,,13.0,,,,,,,,,,,,,,,,,,,,,32.0,-12.0,,0.0,,,,,,,,,,,,2.0,-9.0,,,1.0,-20.0,,,,-0.0,-4.0,,,,0.0,,,-0.0,-23.0,-0.0,4.0,4.0,32.0,-12.0,20.0
20180209,ALCO,ALCO HELLAS SA (CR),2010-12-01 00:00:00,,-6.0,4.0,,18.0,,,,,,,,,,,,,,,,,,,,,16.0,-13.0,,0.0,,,,,,,,,,,,1.0,-12.0,,,9.0,-9.0,,,,,-1.0,,,,,,,-0.0,-2.0,3.0,4.0,7.0,16.0,-13.0,3.0
20180209,ALCO,ALCO HELLAS SA (CR),2011-12-01 00:00:00,,2.0,-2.0,,12.0,,,,,,,,,,,,,,,,,,,,,12.0,-15.0,,0.0,,,,,,,,,,,,-1.0,-16.0,,,9.0,-9.0,,,,,-1.0,,,,0.0,,,-0.0,-1.0,-5.0,7.0,2.0,12.0,-15.0,-2.0
20180209,ALCO,ALCO HELLAS SA (CR),2012-12-01 00:00:00,,-0.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,10.0,-10.0,,1.0,,,,,,,,,,,,0.0,-9.0,,,12.0,-9.0,,,,,-1.0,,,,0.0,,,-0.0,2.0,3.0,2.0,5.0,10.0,-10.0,-1.0
20180209,ALCO,ALCO HELLAS SA (CR),2017-12-01 00:00:00,,-0.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,10.0,-10.0,,1.0,,,,,,,,,,,,0.0,-9.0,,,12.0,-9.0,,,,,-1.0,,,,0.0,,,-0.0,2.0,3.0,2.0,5.0,10.0,-10.0,-1.0
20180209,ALMY,ALUMIL (CR),2012-12-01 00:00:00,,3.0,-3.0,,9.0,,,,,,,,,,,,,,,,,,-0.0,,,9.0,-8.0,,3.0,,,-0.0,,,,,,,,,1.0,-5.0,,,2.0,-1.0,,,,,,,,,,,,0.0,1.0,5.0,21.0,26.0,9.0,-8.0,1.0
20180209,ALMY,ALUMIL (CR),2013-12-01 00:00:00,,1.0,2.0,,-2.0,,,,,,,,,,,,,,,,,,-0.0,,,0.0,-8.0,,1.0,,0.0,-0.0,,-0.0,,,,0.0,,,1.0,-6.0,,,2.0,-3.0,,,,,,,,,,,,-0.0,-1.0,-8.0,26.0,18.0,0.0,-9.0,-9.0
20180209,ALMY,ALUMIL (CR),2014-12-01 00:00:00,,-5.0,0.0,,3.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,-4.0,,1.0,,,-0.0,,,,,0.0,,,,0.0,-3.0,,,3.0,-2.0,,,,,,,,,,,2.0,-2.0,-1.0,-4.0,18.0,14.0,0.0,-4.0,-4.0
20180209,ALMY,ALUMIL (CR),2015-12-01 00:00:00,,5.0,-7.0,,6.0,,,,,,,,,,,,,,,,,,0.0,,,6.0,-4.0,,0.0,,-2.0,-0.0,,-0.0,,,-0.0,,,,0.0,-6.0,,,45.0,-39.0,,,,,,,,,,,2.0,1.0,7.0,8.0,14.0,22.0,6.0,-4.0,2.0
20180209,ALMY,ALUMIL (CR),2016-12-01 00:00:00,,-7.0,6.0,,10.0,,,,,,,,,,,,,,,,,,-0.0,,,9.0,-9.0,,1.0,,,-0.0,,-0.0,,,0.0,,,,0.0,-8.0,,,3.0,-5.0,,,,,,,,,,,,-2.0,-5.0,-4.0,22.0,18.0,9.0,-9.0,-0.0
20180209,ALMY,ALUMIL (CR),2017-12-01 00:00:00,,-4.0,-4.0,,11.0,,,,,,,,,,,,,,,,,,-0.0,,,3.0,-10.0,,1.0,,,-0.0,,,,,,,,,0.0,-8.0,,,3.0,-3.0,,,,,,,,,,,,-2.0,-2.0,-8.0,22.0,14.0,3.0,-10.0,-7.0
20180209,ALPHA,ALPHA BANK (CR),2012-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,-1.0,22.0,777.0,2609.0,,-48.0,,2.0,,,,-1181.0,,,,,,,1.0,-1225.0,,1809.0,,,,-317.0,,,-3.0,,,,,,,-159.0,-478.0,904.0,1206.0,2110.0,,,
20180209,ALPHA,ALPHA BANK (CR),2013-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,-3.0,-7360.0,1053.0,-4432.0,,-119.0,,81.0,,,,-12.0,,,-89.0,,,,2903.0,2852.0,,1964.0,,,,,,,-2.0,,,,550.0,,,-101.0,446.0,-1137.0,2110.0,973.0,,,
20180209,ALPHA,ALPHA BANK (CR),2014-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,5.0,-2546.0,1002.0,-1322.0,,-81.0,,0.0,,,,,,,,,,,596.0,516.0,,222.0,,,926.0,-115.0,-940.0,-48.0,-1.0,,,,1200.0,,,-0.0,1022.0,221.0,973.0,1194.0,,,
20180209,ALPHA,ALPHA BANK (CR),2015-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,-3.0,-3499.0,1248.0,-1307.0,,-92.0,,34.0,,,,,,,76.0,,,,22.0,-35.0,,869.0,,,,-10.0,,-61.0,,,,,1552.0,,,-2.0,1480.0,134.0,1194.0,1328.0,,,
20180209,ALPHA,ALPHA BANK (CR),2016-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,-31.0,-4162.0,1311.0,-2506.0,,-150.0,,57.0,,,,,,,,2094.0,,,-21.0,1980.0,,345.0,,,205.0,,,,,,,,,,,-1.0,204.0,-353.0,1328.0,975.0,,,
