collection_date,sticker,companyName,price_earnings_ttm,price_book,price_sales_ttm,rev_growth_3years_avg,net_income_growth_3_years_avg,operating_margin_ttm,net_margin_ttm,roa_ttm,roe_ttm,debt_equity
2018-02-02 00:00:00,ELTRK,ELTRAK SA (CR),,,,,,,,,,
2018-02-02 00:00:00,ELYF,HELLENIC FABRICS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,EPIL,SELECTED TEXT. IND. ASSOC (CR),,,,,,,,,,
2018-02-02 00:00:00,ETE,NATIONAL BANK (CR),,0.5,1.4,-6.2,,-14.0,112.3,3.4,31.3,
2018-02-02 00:00:00,EUBRK,EUROBROKERS S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,EUPIC,EUROPEAN RELIANCE INSUR. (CR),6.6,1.0,0.6,1.7,15.5,12.5,8.8,4.0,16.6,
2018-02-02 00:00:00,EUROB,EUROBANK ERGASIAS (CR),8.4,0.3,1.6,-62.3,,16.0,7.7,0.2,1.7,0.8
2018-02-02 00:00:00,EUROC,EUROCONSULTANTS S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,EUROM,EUROMEDICA SA (CR),,,,-3.8,,3.5,-19.3,-5.5,,
2018-02-02 00:00:00,EVROF,EVROFARMA SA (CR),,,,,,,,,,
2018-02-02 00:00:00,EXAE,HELLENIC EXCHANGES-A.S.E. (CR),198.3,2.9,13.1,-30.8,-64.6,13.8,6.4,0.5,1.3,
2018-02-02 00:00:00,EYAPS,THESSALONIKA WATER & SEWERAGE,11.3,1.2,2.6,0.5,-1.6,32.3,22.8,8.2,11.0,
2018-02-02 00:00:00,EYDAP,EYDAP S.A. (CR),25.2,0.8,2.2,-0.7,-32.5,12.4,8.8,1.8,3.1,
2018-02-02 00:00:00,FFGRP,FOLLI FOLLIE (CR),5.2,0.7,0.9,14.7,-13.2,19.9,17.3,10.0,14.1,0.2
2018-02-02 00:00:00,FGE,F.G. EUROPE S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,FIER,FIERATEX SA (CR),,,,,,,,,,
2018-02-02 00:00:00,FLEXO,FLEXOPACK SA (CR),,,,,,,,,,
2018-02-02 00:00:00,FORTH,Forthnet (CR),,,0.1,-5.1,,-10.4,-9.4,-6.8,,
2018-02-02 00:00:00,FOYRK,FOURLIS (CR),40.4,2.0,0.7,2.0,,5.5,1.7,1.8,4.7,0.7
2018-02-02 00:00:00,FRIGO,FRIGOGLASS SA (CR),,,,-7.5,,3.9,-17.3,-16.0,,
2018-02-02 00:00:00,GEBKA,GEN. COMMERCIAL & IND.SA (CR),,,,,,,,,,
2018-02-02 00:00:00,GED,G.E. DIMITRIOU (CR),,,,,,,,,,
2018-02-02 00:00:00,GEKTERNA,GEK TERNA (CR),11.9,1.3,0.5,24.5,,11.0,3.9,1.6,11.5,2.0
2018-02-02 00:00:00,GMF,GALAXIDI S.A. (CR),9.7,0.6,0.2,20.4,,4.7,2.0,1.7,6.0,0.1
2018-02-02 00:00:00,GRIV,GRIVALIA PROPERTIES (CR),20.4,1.0,13.6,18.4,113.0,80.2,67.3,4.4,4.9,0.1
2018-02-02 00:00:00,HAIDE,HAIDEMENOS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,HKRAN,CHATZIKRANIOTIS & SONS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,HSI,HEL. SUGAR INDUSTRY SA (CB),,,,-20.3,,-27.6,-37.0,-25.1,,
2018-02-02 00:00:00,HTO,OTE (CR),44.8,2.6,1.6,-1.2,-23.8,10.4,3.5,1.9,5.8,0.5
2018-02-02 00:00:00,HYGEIA,HYGEIA SA (CR),72.5,1.7,1.0,3.8,,6.5,1.3,0.7,2.4,0.1
2018-02-02 00:00:00,IASO,IASO SA (CR),14.3,1.2,1.0,2.9,,13.6,7.2,2.5,8.4,1.2
2018-02-02 00:00:00,IATR,ATHENS MEDICAL CENTER SA (CR),16.4,1.9,0.7,5.5,,11.3,4.4,2.0,11.9,
2018-02-02 00:00:00,IKTIN,IKTINOS HELLAS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,ILYDA,ILYDA S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,INKAT,INTRACOM CONSTR. (CR),,0.8,0.1,18.5,,2.6,-4.6,-2.3,-13.6,1.1
2018-02-02 00:00:00,INLOT,INTRALOT (CR),,2.7,0.2,-4.9,,8.3,-2.3,-2.5,-31.4,11.5
2018-02-02 00:00:00,INTEK,IDEAL GROUP SA (CR),,,,,,,,,,
2018-02-02 00:00:00,INTERCO,INTERCONTINENTAL (CR),11.5,0.9,7.8,,,85.5,68.3,5.8,8.8,0.4
2018-02-02 00:00:00,INTET,INTERTECH SA (CR),,,,,,,,,,
2018-02-02 00:00:00,INTRK,INTRACOM HOLDINGS (CR),1766.9,0.5,0.3,11.2,,8.1,,,0.1,0.3
2018-02-02 00:00:00,KAMP,REDS S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,KANAK,S.KANAKIS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,KARE,KARELIA TOBACCO CO. SA (CB),14.1,2.0,0.9,6.7,16.0,9.1,6.5,11.9,15.1,
2018-02-02 00:00:00,KARTZ,KARATZIS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,KEKR,KEKROPS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,KEPEN,MILLS KEPENOS (CR),,,,,,,,,,
2018-02-02 00:00:00,KERAL,KERAMIA-ALLATINI (CR),,0.3,,,,,,-1.0,-2.1,
2018-02-02 00:00:00,KLM,KLOUKINAS - LAPPAS SA (CR),64.2,0.6,1.0,-4.6,,5.5,1.6,0.6,0.9,0.2
2018-02-02 00:00:00,KMOL,KARAMOLEGOS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,KORDE,KORDELLOS BROS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,KORRES,KORRES (CR),,,,,,,,,,
2018-02-02 00:00:00,KREKA,KRE.KA SA (CR),,,,,,,,,,
2018-02-02 00:00:00,KRI,KRI-KRI S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,KTILA,KTIMA KOSTAS LAZARIDIS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,KYLO,LOULIS MILLS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,KYRI,KIRIAKOULIS SHIPPING SA (CR),16.2,0.3,0.2,9.0,,2.3,1.5,0.6,1.8,0.3
2018-02-02 00:00:00,KYSA,FLOUR MILLS SARANTOPOULOS SA,,,,,,,,,,
2018-02-02 00:00:00,LAMDA,LAMDA DEVELOPMENT SA (CR),,1.6,9.9,3.2,,8.6,-44.8,-3.0,-7.3,1.1
2018-02-02 00:00:00,LAMPS,LAMPSA HOTEL SA (CR),70.6,4.3,6.3,6.4,-11.3,18.6,9.0,3.8,6.2,0.2
2018-02-02 00:00:00,LANAC,LANAKAM SA (CR),,0.2,1.1,-5.4,,,-5.3,-0.7,-0.8,
2018-02-02 00:00:00,LAVI,LAVIPHARM SA (CR),,,,,,,,,,
2018-02-02 00:00:00,LEBEK,N. LEVEDERIS SA (CB),,,,,,,,,,
2018-02-02 00:00:00,LEBEP,N. LEVEDERIS SA (PB),,,,,,,,,,
2018-02-02 00:00:00,LIVAN,LIVANIS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,LOGISMOS,LOGISMOS S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,LYK,INFORM P. LYKOS SA (CR),,,,15.7,-40.3,4.5,0.2,0.2,0.3,0.4
2018-02-02 00:00:00,MARAC,MARAC ELECTRONICS (CR),,,,,,,,,,
2018-02-02 00:00:00,MATHIO,MATHIOS REFRACTORY SA (CR),,,,,,,,,,
2018-02-02 00:00:00,MEDIC,MEDICON S.A (CR),,,,,,,,,,
2018-02-02 00:00:00,MERKO,MERMEREN KOMB. A.D. PR. (GDR),,,,,,,,,,
2018-02-02 00:00:00,MEVA,MEVACO SA (CR),,,,,,,,,,
2018-02-02 00:00:00,MHXAK,MICHANIKI SA (CR),,0.2,0.3,-40.2,,147.6,-127.4,-4.4,-52.8,0.3
2018-02-02 00:00:00,MHXAP,MICHANIKI SA (PR),,,,-40.2,,147.6,-127.4,-4.4,-52.8,0.3
2018-02-02 00:00:00,MIG,MARFIN INVESTMENT GROUP (CR),,0.6,0.2,-1.9,,4.0,-9.0,-3.6,-32.8,3.5
2018-02-02 00:00:00,MIN,MINERVA KNITWEAR SA (CB),,,,,,,,,,
2018-02-02 00:00:00,MINOA,MINOAN LINES SA (CR),13.7,0.9,1.5,-0.5,,13.1,6.1,2.1,3.6,0.5
2018-02-02 00:00:00,MLAND,MICROLAND COMPUTERS SA (CR),,,,,,,,-579.9,,
2018-02-02 00:00:00,MLS,MLS MULTIMEDIA SA (CR),,,,,,,,,,
2018-02-02 00:00:00,MODA,VARVERIS - MODA BAGNO SA (CR),,,,,,,,,,
2018-02-02 00:00:00,MOH,MOTOR OIL (CR),6.8,2.3,0.3,-11.9,,7.2,4.4,12.0,38.9,0.9
2018-02-02 00:00:00,MOTO,MOTODYNAMICS S.A. (CR),,,,,,,,,,
