collection_date,sticker,companyName,date,revenue,cost_of_revenue,gross_profit,operating_expences_sales_general_administrative,operating_expences_sales_general_administrative2,other_operating_expenses,total_operating_expenses,operating_income,interest_expense,interest_expense2,other_income_expense,income_before_income_taxes,income_before_income_taxes_2,provision_for_income_taxes,minority_interest,other_income,other_income2,net_income_from_continuing_operations,net_income_from_continuing_operations2,net_income_from_discontinuing_operations,net_income_from_discontinuing_operations2,net_income_from_discontinuing_operations3,other,net_income,net_income_available_to_common_shareholders,earnings_per_share_basic,earnings_per_share_diluted,weighted_average_shares_outstanding_basic,weighted_average_shares_outstanding_diluted,ebitda,commision_and_fees,compensation_and_benefits,cummulative_effect_of_accounting_changes,depreciation_and_amortisation,extraordinary_items,income_from_cont_operations_before_taxes,income_tax_expense_benefit,interest_income,investment_income_net,merger_acquisition_and_restructuring,net_interest_income,nonrecurring_expense,operating_expenses,policyholder_benefits_and_claims_incurred,other_distributions,other_expense,other_expense2,other_special_charges,policyholder_benefits_and_claims_incurred,preferred_distributions,preferred_dividend,premiums,provision_benefit_for_taxes,realised_capital_gains_net,research_and_development,restructuring_merger_and_acquisition,securities_gains,tech_communication_and_equipment,total_benefits_claims_expenses,total_costs_and_expenses,total_expenses,total_interest_expense,total_interest_income,total_net_revenue,total_noninterest_expenses,total_noninterest_revenue,total_nonoperating_income_net,total_revenues
20180208,AEGN,AEGEAN,2012-12-01 00:00:00,653.0,586.0,68.0,,,85.0,85.0,-18.0,,,5.0,-13.0,,-2.0,,,,,-10.0,,,,0.0,-10.0,-10.0,-0.14,-0.14,71.0,71.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180208,AEGN,AEGEAN,2013-12-01 00:00:00,699.0,546.0,153.0,,,88.0,88.0,65.0,,,10.0,75.0,,17.0,,,,,58.0,,,,-0.0,58.0,58.0,0.81,0.81,71.0,71.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180208,AEGN,AEGEAN,2014-12-01 00:00:00,912.0,702.0,210.0,,,116.0,116.0,93.0,5.0,,6.0,95.0,,14.0,,,,,80.0,,,,,80.0,80.0,1.12,1.12,71.0,71.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180208,AEGN,AEGEAN,2015-12-01 00:00:00,983.0,781.0,202.0,,,128.0,128.0,73.0,4.0,,31.0,100.0,,32.0,,,,,68.0,,,,,68.0,68.0,0.96,0.96,71.0,71.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180208,AEGN,AEGEAN,2016-12-01 00:00:00,1020.0,838.0,182.0,,,143.0,143.0,39.0,1.0,,13.0,52.0,,19.0,,,,,32.0,,,,,32.0,32.0,0.45,0.45,71.0,71.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180208,AEGN,AEGEAN,2017-12-01 00:00:00,1067.0,872.0,195.0,,,142.0,142.0,53.0,-0.0,,3.0,57.0,,21.0,,,,,36.0,,,,,36.0,36.0,0.5,0.5,71.0,71.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
